Customer ID,recencia_dias,compras_registradas,gasto_total_usd,abandono,puntaje_riesgo_abandono,abandono_predicho
2706,749,2,77.0,1,0.9999564082823728,1
320,746,2,86.4,1,0.9999406007929091,1
1905,142,47,2033.0,1,0.9999239109630547,1
332,129,47,2226.4,1,0.9998139136295661,1
2242,493,4,180.5,1,0.999371501506086,1
1464,564,2,148.0,1,0.9993461925522986,1
1799,550,2,140.8,1,0.9992535137380663,1
781,125,39,2097.2,1,0.9980300934565174,1
1242,138,35,1734.0,1,0.9979462726132609,1
983,124,38,2032.8,1,0.9973357554792875,1
1415,359,4,129.6,0,0.9954211215771317,1
1374,335,7,323.8,1,0.9953732900678759,1
196,126,35,1790.6,1,0.9952682251643498,1
1951,154,27,1294.6,1,0.9929141770175552,1
2328,180,23,1173.5,1,0.9928790439535926,1
2645,327,5,179.5,1,0.9926157517090707,1
3208,233,15,718.7,1,0.9924705403262116,1
325,106,38,1924.2,1,0.9924438166925632,1
2531,144,29,1505.8,1,0.9923925731397264,1
152,360,4,216.4,0,0.9921236551942104,1
263,325,7,413.2,1,0.9917704666372293,1
292,94,41,2268.4,1,0.9912954087369908,1
1515,364,2,92.9,0,0.991021306084979,1
2984,354,2,92.6,0,0.9897782247418269,1
1528,112,34,1452.0,1,0.9894393163972781,1
2070,325,4,178.7,0,0.9885304256511589,1
3550,242,12,523.7,1,0.9882777822588306,1
928,290,9,553.7,1,0.9882204674155523,1
3560,236,14,832.8,1,0.9881326898199096,1
1739,94,38,1779.4,1,0.9865589793301615,1
3680,295,6,320.8,1,0.9844368903826414,1
2901,153,24,1154.5,1,0.9843417321447959,1
1092,280,7,327.5,1,0.984221608104669,1
2477,127,29,1389.8,1,0.9839637196784149,1
2558,194,18,1135.7,1,0.9829481302345655,1
2478,124,30,1592.7,1,0.982836577565075,1
3737,331,3,193.1,0,0.9816626967065323,1
3268,74,43,1963.6,1,0.9796840998800768,1
915,131,28,1505.6,1,0.9779143243636503,1
1890,124,28,1260.1,1,0.9769973936225256,1
2229,259,6,206.0,1,0.9728738472158924,1
709,165,20,900.5,1,0.9720909878511806,1
3368,253,7,298.6,0,0.9707681876432188,1
162,115,30,1580.7,1,0.9687550687109595,1
723,53,51,2555.3,1,0.96452713695388,1
749,242,9,495.2,1,0.9638437831825831,1
2137,126,26,1454.7,1,0.9581107121563464,1
426,275,5,294.4,1,0.9573439142907937,1
1715,178,16,839.7,1,0.955919302137637,1
1842,236,8,432.2,0,0.9534408462070968,1
1487,131,24,1185.4,1,0.9519826908287573,1
3723,292,2,113.2,0,0.9505505383926813,1
679,123,26,1353.2,1,0.9451878404986639,1
708,138,22,1000.7,1,0.9438445413752206,1
1578,217,8,361.0,0,0.9341932210769227,1
1453,185,12,524.0,1,0.9276863936921669,1
2740,66,40,1882.0,1,0.9075000456777099,1
1454,61,42,1894.8,1,0.9064198544916046,1
3759,117,24,1184.7,1,0.9053366444240493,1
3794,51,47,2346.6,0,0.9042869903335975,1
1656,230,5,232.6,0,0.9028770987491871,1
3105,61,42,2049.2,1,0.9021734436380665,1
2747,123,22,1022.8,1,0.893156139996563,1
3423,192,10,515.9,1,0.8911347403800055,1
2954,176,12,606.4,0,0.886466267285043,1
1034,61,42,1995.6,1,0.8853311258783597,1
430,124,22,1066.9,1,0.8790888843369269,1
172,247,5,389.4,0,0.8781511422996557,1
1001,242,2,65.3,0,0.8751873917716014,1
704,121,22,982.4,1,0.8718629011653136,1
3354,128,20,901.3,1,0.8713021760801336,1
506,184,10,410.2,0,0.8704423232668147,1
201,93,30,1595.1,1,0.8661667998116808,1
392,105,26,1245.4,1,0.8614987791621652,1
3457,116,22,953.6,1,0.8550455492412802,1
1817,214,5,237.4,0,0.8434437118753654,1
1852,215,5,270.5,0,0.8313599977831786,1
349,132,18,891.0,1,0.8047549426912521,1
852,122,20,918.6,1,0.8023013526217072,1
2711,231,4,327.5,0,0.802245041593979,1
1624,39,51,2531.3,0,0.8011781333920683,1
778,64,38,1935.2,0,0.7959026787472863,1
2178,170,10,514.4,0,0.776332828786431,1
2298,218,2,81.5,0,0.7751517172633838,1
3382,87,28,1483.0,0,0.7524612995410134,1
496,193,7,421.8,0,0.7456640555911056,1
2990,180,7,320.5,0,0.738913264404676,1
255,195,5,218.7,0,0.7327811349003526,1
587,160,10,367.3,0,0.725783780647913,1
3729,233,2,162.3,1,0.7227406726761814,1
1639,116,19,943.3,0,0.7169683355862805,1
2457,179,6,234.2,0,0.7083211145479659,1
2864,117,19,1009.0,1,0.7076983123326919,1
284,127,17,833.5,0,0.7030135719469236,1
1297,122,17,806.8,0,0.6874420172750105,1
955,115,19,902.0,0,0.6775563973264204,1
3340,61,36,1673.8,0,0.6705608594426472,1
1709,209,2,102.2,1,0.6691327065180136,1
1038,39,49,2490.7,0,0.666346697398665,1
3334,194,4,213.7,0,0.6639898915627105,1
1843,195,2,59.9,0,0.6581303955849732,1
512,164,9,459.1,0,0.6571917790225442,1
3280,209,2,127.0,0,0.6266346096342226,1
1788,148,11,601.3,0,0.6111199658836973,1
1513,107,19,842.8,0,0.6101647360790651,1
1170,181,4,150.4,0,0.6064717520091332,1
3068,194,3,164.7,0,0.604502686990221,1
1315,35,50,2662.2,0,0.5717777393500144,1
1258,65,32,1488.5,0,0.5523358733431188,1
1934,72,29,1253.9,0,0.5491536953581707,1
1692,171,5,235.0,0,0.5421504384785116,1
2292,125,14,679.0,1,0.5371749633563102,1
3489,158,8,486.1,0,0.5289326816147084,1
2587,207,2,163.3,1,0.5089353273589956,1
1266,73,28,1189.7,0,0.5073835861296853,1
2210,40,45,2294.7,0,0.49767321467761305,0
3626,61,33,1538.0,0,0.4970201462495762,0
2606,61,33,1543.0,0,0.4928174555986193,0
3583,115,16,899.0,0,0.4808949353011608,0
2956,37,47,2505.7,0,0.48056781346630073,0
718,153,8,381.5,0,0.47665390254197226,0
1744,164,4,120.2,0,0.4688668834089203,0
551,127,13,670.4,0,0.46258282353363045,0
1155,39,45,2300.1,0,0.4561728043079886,0
3652,154,6,263.7,0,0.4204665113935821,0
1039,166,4,161.6,0,0.4109695313109884,0
1493,160,4,163.6,0,0.39140679054110916,0
1411,96,19,1000.4,0,0.38465982858178127,0
1055,32,49,2458.7,0,0.3629812481632719,0
3481,35,46,2250.8,0,0.33947722217594467,0
2792,107,15,746.2,0,0.3355033935933283,0
3796,157,4,196.6,0,0.32110458977871476,0
1037,110,14,653.4,0,0.30851296947198836,0
2189,126,10,506.4,0,0.30445908109439807,0
2500,157,3,128.0,0,0.2937347783197549,0
2759,128,9,417.9,0,0.29031691385167324,0
3209,38,43,2354.0,0,0.28873107858627295,0
3198,61,30,1639.3,0,0.279003230091294,0
671,46,38,2016.8,0,0.2749477915417736,0
2755,80,22,1194.6,0,0.26570150377745083,0
1855,29,50,2651.0,0,0.26330042315695884,0
3813,125,8,274.4,0,0.2580400624587353,0
3792,174,2,157.0,0,0.2514998554353452,0
1475,131,7,327.8,0,0.22188233184437478,0
3139,39,41,2290.1,0,0.21906963468442067,0
903,141,6,335.7,0,0.21480495613209086,0
